1;SuperChange;;0;42372
10;My-Xchange;878525859540;953;87651
29;N-Change;;0;1471820
48;Exwp;800811812711;1724;126296
51;ExchangeX;687408836403;1865;328717
52;NetExchange;;0;764400
56;M-Obmen;963130820766;2982;53359
63;WMCasher;106880779815;3236;69833
67;СуперОбменка;249714880659;4347;183861
72;ОбменникРу;113848432416;3013;22596
382;Bit-Changer;;0;10618
443;ОбменОМ;;0;525377
79;E-Obmen;;0;1054948
80;Vmex;060994506852;1513;343401
83;Обменник.ws;249714880659;4347;13107
86;Obmening;142747776155;0;484414
90;Ex-Money;;0;113360071
104;Owm24;413356353466;174;1254
107;WM-Sha;881627402476;1622;5187
120;MagneticExchange;;0;248432
128;XMLGold;;0;1357339
142;WmPayCash;256939015533;2152;50025
152;Vilcov;;0;323595
154;eCashMe;878525859540;953;93276
155;Z-Obmen;;0;58041
157;WmBox;329025066047;2164;30401
161;Обменник.ua;963130820766;2982;60442
170;XMoney;;0;13199862
177;Alfacash;;0;518100
184;Xchange;;0;91573420
201;NixExchange;;0;723936
204;ChangeAM;384322030386;809;55176
208;Обмен.cc;;0;10952
212;P2PChange;;0;1682444
218;A-Exchange;;0;118189
990;Todex;159596520613;268;9809338
220;WMGlobus;;0;62088815
223;МультиВал;;0;135812
227;MoneyChange;;0;0
238;E-Money;;0;48669124
239;E-Scrooge;;0;27908387
241;SimpleChange;174948279972;1410;11884
643;Bchange;;0;889522
252;VIPchanger;397640011232;2024;1185921
730;WmMoney;445709135419;1362;3501
255;BazarMoney;250647852481;1050;7707
257;PM2WM;;0;100000
259;BTC2Cashin;;0;118017
268;Rapid-Obmen;;0;0
269;Paspar;;0;6798
271;GoldObmen;;0;31722
272;WMCentre;;0;288637
273;ArmChange;;0;42815
274;MultiChange;;0;82699960
276;BTC2PM;;0;69505
277;BTC2WM;;0;100000
279;MChange;;0;185900563
281;Trust-Exchange;;0;10423857
295;MisterExchange;;0;28225
297;Меняйко;192211650456;1605;17989
299;ObmenCash;;0;7077
306;Спасибо;632584157120;1883;210354
311;Cryptex24;;0;652828
320;100Монет;;0;6873287
324;Qipri;;0;2158714
326;Матби;;0;474865
327;24Обмен;;0;5212
329;TytCoin;;0;256401
337;1WM;;0;376440
341;WMStream;185657319746;1691;29325837
346;UltraChange;;0;584711
362;D-Obmen;;0;294325
364;N-Obmen;;0;18073
366;WmCurrency;;0;4046
370;Obmenneg;426424364533;0;16755
372;HotExchange;;0;1423739
374;Echange;401537073488;1033;41454
375;CashTransfers;123974018633;93;7513302
377;ExBox;;0;3438182
380;FavoriteExchanger;266156638013;1088;628366
385;ChangeMoney24;;0;15656930
387;365Cash;;0;375598
613;JoJoCash;;0;166545
395;InternetMoney;;0;31823
397;AllCash;;0;12079158
399;CleanBTC;491088628726;26;13305415
402;Trust-Changer;;0;0
405;OpenChange;;0;8954559
409;5Минут;157677488095;365;4704
411;BTCBank;;0;152020
412;WW-Pay;;0;0
417;24PayBank;;0;203979254
421;Receive-Money;;0;5330652
430;CoinTransfer;;0;21841809
433;Smart-Pays;;0;2142726
436;RealExchange;271040623560;810;0
921;Сатоши;;0;4025981
437;RuChange;;0;23664
438;WestChange;;0;957381
439;Makoli;;0;24056
441;PMCash;;0;26933
444;Конверт;;0;0
696;Exipon;556315249748;128;59287
445;24Online;;0;9606655
454;ByWare;;0;121341397
456;SafePay;196907527892;1361;67101
455;FehuPay;;0;259474
830;EliteObmen;;0;8854987
460;Lionex;;0;59673
466;BtcChange24;;0;444526
464;MegaChange;380536951311;1188;18603
467;GoodObmen;;0;30385
468;Magnatus;;0;680998
469;MasterChange;238890286272;2011;24817435
471;ChBy;;0;104587577
472;Changer4u;;0;957957
473;ImExchanger;;0;6189457
474;SuperChangeNet;;0;67199
475;ObmenPP;;0;720872
478;Coinex24;;0;70586
489;ZB;;0;0
488;FastChange;;0;14880487
490;O-Paxum;;0;127239
498;Kraken;;0;0
499;Huobi;;0;0
502;OkCoin;;0;0
500;BitStamp;;0;0
504;OKEx;;0;0
497;Cexio;;0;0
496;Bitfinex;;0;0
492;Poloniex;;0;0
797;Excoin;;0;482162
501;Currency;;0;0
503;HitBTC;;0;0
505;CryptoMate;;0;0
508;Gemini;;0;0
507;Bitkonan;;0;0
510;Binance;;0;0
509;TheRockTrading;;0;0
511;Bittrex;;0;0
512;CoinBase;;0;0
513;BitBay;;0;0
515;YoBit;;0;0
517;BaksMan;;0;207651495
521;Шахта;;0;5865512
522;Касса;;0;102745
519;BitExchanger;;0;67203777
526;FastExchange;;0;434050
528;WmExpress;;0;73627
531;FastWM;176080725420;848;23825
532;QuickChange;;0;395557
536;WuBill;;0;16688518
535;BitPayes;;0;0
537;100BtcKiev;;0;212814
539;NewLine;;0;1208525506
544;Банкомат;;0;182522849
743;Treddr;894221020033;26;799752
546;NetEx24;;0;1430015
550;PayBis;;0;1384023
551;RocketChange;697747012700;1729;238834
555;Cashex;;0;55802859
556;ObmennCom;;0;28657
558;1Exchanger;;0;9482
559;MinedTrade;;0;4990440
561;BetaTransfer;;0;49516
562;Z-Exchange;;0;3024
565;Transfer24;;0;229223
567;Coin-Bank;;0;16930
573;Биткоин24;;0;38262
575;Your-Coins;;0;13488
577;Bit-Обменка;;0;12808444
580;4ange;;0;38648650
581;8Pay;437302142553;1091;1991904
582;Обмен24;929821584599;1806;35761
584;F-Change;;0;290958
585;ObmenoFF;;0;461222
586;КэшБанк;;0;26785306
587;Payforia;;0;1289239
589;ObmenTech;421609434468;1491;0
588;7Money;;0;952390
590;ExMoney;;0;21185
