61;39;BAT (BAT);BAT;1002;0;11111111110111111111111111111111111111111111111100000000011111100111111111111110000111000000000000001101100001000111111101111111111111011111111111111111110011001001110111111001000000010010000111111001111000
62;118;Альфа cash-in RUB;RUB Альфа cash-in;643;3;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
63;63;QIWI RUB;RUB QIWI;643;1;11111111110111111111110110111111011111101111111110100010011111100111111111111111100111110001100110001110011001000011011001111111111111011111111111111111110001000001111010101000000001000000000000100001111000
64;123;Русский Стандарт;RUB РусСтандарт;643;3;11111111110111111111110111111111111111111111111100000000011111100011111111111110000111000000000000001100010001000000000000100000011101011111111000001011000111001100110000100000110000010000000000000000000000
65;151;Visa/MasterCard EUR;EUR Карта;978;3;11001111110111111111010110011101001001000111010100000000011011100000001111101110000110001100000000000100010000000000000000000000000000000000000000000000010000000000000101000000010001000100000000000000000000
57;127;Кукуруза;RUB Кукуруза;643;3;11111111110111111110010111111111111111111111000110000000011011100010001111101110000000000000100000000000000001000000000000000000000000010111100000000001000000000000000000000000000000000000000000000000000000
66;148;Kaspi Bank;KZT KaspiBank;398;3;11001111110111111110000110001101001000000000000110001000011011100100001111101110000011000000110100000100000000000000000000000000000100000000000010100000000000000000100000000000010000000000000000000000000000
67;187;WU USD;USD WU;840;4;10001011100111100000000110001000000000000000000100000010011000100000001010001000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
68;138;Ощадбанк;UAH Ощадбанк;980;3;11111111110111111111110111111111111111111111111111100011011111100011111111111110000111000000111100000110000001000111001001111111111111011111101011110101110011011101110010101011110000010000000000000001101000
69;168;Любой банк USD;USD Банк;840;3;11001111110111111111010110011100001001000101010110000000011010000000001111101110000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
73;91;PaySafeCard;EUR PSC;978;1;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
70;170;Любой банк EUR;EUR Банк;978;3;11001111110111111111010110011101011001101111010110000000011010100000001111101110000000000000000100000000000000000000000000000000000000000000000000000000010000000000000101000000000000000000000000000000000000
71;169;Любой банк RUB;RUB Банк;643;3;11111111110111111111110110011111011111100111111111000000011111100011111111101110000111000000100010001110000000000000000000100000000100011111111111011011110011001100110000111001010000010000000000000000000000
72;87;Neteller USD;USD Neteller;840;1;11001111000110111001000000011101001000000100000000000000011001100000001010001011000000000001000000000000000000000011001000000000000000010000000000000000000000000000000000000000000000000000000000000001000000
74;84;Paxum;USD Paxum;840;1;00000000000000010000000000000000000000000000000100000000010001100010001000001000000010000000000000010000000000000011000000000000000000010000000000000101000000000000000000000000000000000000000000000000000000
11;83;Idram;AMD Idram;51;1;00001000000000111000000000001000000000000000000100000001010000000010001110001110000010000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
75;147;ForteBank;KZT ForteBank;398;3;11001011100101110010000010001100001000000000000110001000011011100100001111101110000011000000110100000000000000000000000000000000000000000000000011010000000000000000000000000000000000000000000000000000000000
76;50;WMP;WMP;643;1;00000000000000000000000000000000000000000000000110000000000001000000000000000000000000000000000000000000000000000011001001000000000000011111101000000101000000000000000010100000010000000000000000000000000000
77;191;MoneyGram EUR;EUR MG;978;4;10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
78;190;MoneyGram USD;USD MG;840;4;10001011100101100000000000000000000000000000000000000000010000100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
79;124;Авангард;RUB Авангард;643;3;11111111110111111111111111111111111111111111111100000000011111000011111111111110000111000000000000001110000000000000000000010000011101011111111000001011000111001101110000100001110000010000000000000000000000
80;69;PayPal EUR;EUR PayPal;978;1;11001000000000000000000000001000000000000000000110100000011001100000001110001011100000000000000000000000000000000011001001111111111111011111111011110101010000000000000000100000000000000000000000000000011000
81;174;Любой банк GBP;GBP Банк;826;3;11001111000110101011000010011101001000100100000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
82;111;LiveCoin USD;USD LiveCoin;840;2;00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
83;161;Visa/MasterCard TRY;TRY Карта;949;3;11001111000110101011000010011100001000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
84;141;Монобанк;UAH Монобанк;980;3;11111111110111111111111111111111111111111111111111100011011111100011111111111110000111100000111100001110000001000111001001111111111111011111111011111111110011011101110010101011110000010000000000000001101000
85;86;Capitalist RUB;RUB Capitalist;643;1;11111111110111111111110111011111111111111111111100000000011111100111111111111110000110000000100000001100000000000111001001111101011111011111111111111111110111001101110110111001110000010000000001000111110000
86;196;UNI USD;USD UNI;840;4;10001010000001000000000000000000000000000000000100000000011000000000001000001000000000000000000000000000010000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
87;56;Paymer USD;USD Paymer;840;1;00000010000010000000000000000000000000000000000000000000010000000000001110001110000010000000100000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000
88;71;Advanced Cash USD;USD AdvCash;840;1;11111111110111111111111111111111111111111111111111000001011111100111111111111111101111111101111110001110011001000011111111111111111111011111111111111111110111001101111111111011111001110110010111111111111100
89;200;Наличные USD;USD Наличными;840;5;11101111110111111111001110111111011110111100010110000000011010100010001110001111000110101001110010000000000000000010001001000000000000011111100000001001000000000000000000100000010000000000000000000000000000
90;145;HalykBank;KZT HalykBank;398;3;11001111110111111110000110001100001000000000000110001000011011100100001111101110000011000000110100000100000000000000000000000000000100000000000001100000000000000000100000000000010000000000000000000000000000
91;201;Наличные RUB;RUB Наличными;643;5;11001111110111111111000110111111011110111000000100000000011010100000001110001100000100000000000000000000000000000010001001001000000000011100100000000001000000000000000000000000010000000000000000000000000000
92;203;Наличные UAH;UAH Наличными;980;5;11101011110111111110000010001101010000100000000110100000011011100000001110001000000100000000000000000000000000000010001000111100011100010000000000000001000000000000000010000000000000000000000000000000000000
93;1;Bitcoin (BTC);BTC;967;0;11111111110111111111111111111111111111111111111111100000011111100111111111111111101111110001100110111111110001101111111111111111111111111111111111111111110111011101110111111011111011111111011101111111111101
94;205;Наличные KZT;KZT Наличными;398;5;10001011100110111100000010001100000000000000000110100000011011100000001110001110000000000000000000000100000000000011001001101101010000011100100011011111110011010001100010001010010000000000000000000000000000
95;126;Газпромбанк;RUB ГПБ;643;3;11111111110111111111110111111111111111111111111100000000011111100011111111111110000111000000100000001110000001000000000000000100011101011111111000001011000111001100110000100001110000010000000000000000000000
96;55;WMX;WMX;998;1;00000000000000000000000000000000000000000000000110100000000000100010000000000000000000000000000000000100000000000011001001111111111111011111101000001101000000000001000010100000000000000000000000000000000000
97;98;Epay EUR;EUR Epay;978;1;00000000000000000000000000000000000000000000000100000000011001100010001111101110000000001100000010000000000000000000000000000000000000000000000000001011010001000000000101000000000001000100000000000000000000
98;68;PayPal RUB;RUB PayPal;643;1;11001000000000000000000000001000000000000000000110100000011001100000001110000001100000000000000000000000000000000011001001111111111111011111011011110101010000000000000000000000000000000000000000000000000000
99;7;Litecoin (LTC);LTC;997;0;11111111110111111111111111111111111111111111111111100000011111100111111111111111101111110001110110001111100001000111111111111111111111011111111111111111110111011101110111111011110001110111000111111111111100
