643;999;4234.9
643;980;2.72099
980;949;3.5079
643;156;11.645
566;840;379.5
643;978;89.8275
764;348;0.1007
980;840;27.9698
980;156;4.2745
980;51;0.052931
980;643;0.36684
102;840;1917.9169887169
974;980;0.09403
974;840;2.6279
974;978;3.1035
974;156;0.40198
974;643;0.034525
974;398;0.0061927
974;826;3.6005
978;840;0.8473140146
566;156;57.9845
999;840;0.0180080994
978;764;0.0272138464
643;949;9.57551
997;967;289.38869532
997;840;0.005224872
978;156;0.1295001295
156;949;0.8261
156;764;0.2101
156;643;0.0857
156;978;7.71765
398;392;3.88
398;752;49.1
398;203;19.05
398;826;579.96
398;980;15.15
398;860;0.0404
398;51;0.805
967;840;1.90879E-5
967;978;2.24834E-5
967;156;2.9158E-6
967;826;2.62229E-5
967;643;2.503E-7
998;840;0.019087889
998;978;0.022483364
998;156;0.0029158287
998;826;0.0262229396
998;643;0.0002502739
996;840;18.1801654395
860;840;10507.68
996;967;1020408.1632653
826;840;0.728756741
826;643;0.0095333974
826;978;0.8622176237
826;156;0.1117206091
398;949;53.27
643;840;76.2625
994;967;113122.1719457
102;967;100000000
987;967;109.116700311
980;978;33.0337
992;840;0.00526234
992;967;275.3084142511
993;840;0.0006029112
993;967;32.4296592583
51;840;528.68
51;974;201.25
51;860;0.05
51;980;18.93
51;643;6.96
51;498;29.47
51;398;1.246
51;156;80.98
764;985;7.9319
498;752;2.076
643;826;104.775
764;704;0.001347
764;643;0.4057
764;203;1.3989
764;156;4.7662
764;578;3.6139
398;764;13.62
51;752;61.3
840;498;0.0559377847
991;967;239.4957178166
991;840;0.0045643922
990;840;0.0909302172
990;967;4765.9898961014
999;978;0.0212546931
980;860;0.002655
999;974;0.0068394811
999;980;0.000643695
764;752;3.6085
989;967;104821.80293501
989;840;1.9746367389
988;967;425.9506152857
988;993;13.0186601664
988;840;0.0080560276
51;392;4.848
980;826;38.3788
978;643;0.0111096915
967;764;6.126E-7
998;764;0.0006125767
156;392;0.059981
398;643;5.57
978;826;1.1618720082
398;985;107.85
995;840;0.0052472532
566;978;448.1136
566;826;519.8771
990;993;148.0181114961
986;967;162680.98259313
986;840;3.1102873688
980;356;0.3851
987;840;0.0020874975
995;967;274.3107941297
643;398;0.179739
980;764;0.92008
643;51;0.144269
109;988;0.52
985;840;3.9253
109;991;0.926
980;398;0.066007
109;102;2.0E-5
994;840;2.1645138772
986;993;5008.7904271997
980;974;10.6544
102;993;3044140.0304414
981;967;13078.733978551
981;993;403.2583272845
981;840;0.2503617728
983;993;434.3765610408
983;967;14102.383302778
983;840;0.2699237465
984;967;1329.8756566261
984;993;40.965809935
984;840;0.0254655614
104;967;946118.54865415
104;993;29151.969215521
104;840;18.1109385541
103;967;1743.8311971401
103;993;53.7316640696
103;840;0.0333664384
100;967;46426.333016087
100;993;1430.6949887047
100;840;0.8875002075
101;967;143061.51645207
101;840;2.7262062849
982;840;0.7319572537
982;978;0.8622547963
982;967;38233.607340853
982;993;1178.86993528
105;993;324.4120032441
105;967;10521.332000631
105;840;0.2016515667
996;993;30902.348578492
997;993;8.951520089
106;840;0.084001848
106;967;4751.4967214673
106;993;144.9275362319
764;356;0.4275
764;360;2.1596
107;967;1875644.7528838
107;993;57828.203971641
107;840;35.9932786152
108;967;38885.540411798
108;993;1197.3538479959
108;840;0.7433758705
643;974;29.1475
643;860;0.00724937
840;860;9.51475E-5
840;156;0.1527580465
840;974;0.3802544511
840;840;1
840;967;51665.817022306
840;398;0.0023709848
840;980;0.0357875953
840;764;0.0320986069
840;643;0.0131132493
840;566;0.0026281209
840;51;0.0018916021
840;826;1.3737905491
840;978;1.1774499495
109;984;0.1658
109;981;0.06494
109;101;0.001544
109;997;0.738
109;986;0.002441
109;100;0.004763
987;993;3.3608926531
109;108;0.01045
109;983;0.0157
109;989;0.00211
109;104;0.0002343
109;990;0.047
1010;967;273972.60273973
109;826;0.0057664473
109;967;220.0849527918
978;356;0.0116603798
764;458;7.5132
967;356;2.628E-7
998;356;0.0002627519
398;578;49.24
51;356;7.28
764;392;28.5501
643;356;1.04844
840;356;0.0137656002
980;458;6.9003
156;458;1.5845
764;978;36.7176
643;392;0.698236
980;392;0.25645
974;392;0.024097
978;392;0.0077669903
764;826;42.5644
967;392;1.749E-7
998;392;0.0001749026
156;826;8.9885
398;498;23.82
51;985;134.81
974;498;0.14702
978;458;0.2043443611
840;392;0.009163691
110;967;28501.802739023
110;993;878.1867200604
110;840;0.546506023
109;110;0.00765
111;967;30721.966205837
111;993;945.5728280192
111;840;0.587090123
1000;840;0.0329675559
1000;967;1718.419741206
1007;967;13101.86701605
109;1000;0.4467
643;985;19.4292
980;985;7.1174
974;985;0.66939
978;985;0.2155218862
999;860;1.7054E-6
967;985;4.8522E-6
998;985;0.0048521666
398;417;4.99
51;949;66.44
764;840;31.0788
985;764;0.1262
985;978;4.6358
985;826;5.378
985;980;0.1404
985;392;0.035991
985;643;0.0516
985;356;0.054043
985;156;0.6004
109;1001;1.326E-5
1001;967;16722408.026756
1001;840;319.3862673487
1001;993;513742.61494991
840;985;0.2539930888
109;105;0.03938
980;498;1.5641
1002;967;52241.145125901
1002;993;1609.56726784
1002;840;0.9995367147
109;1002;0.00414
974;949;0.33046
978;949;0.1060299216
860;704;0.455
109;978;0.0049496301
398;156;64.8
51;978;624.37
985;949;0.4907
949;840;7.94805
949;978;9.38625
949;826;10.8842
949;392;7.28715
949;643;0.10441
949;156;1.2157
